Nazwa pliku,TP,FN,FP,PPV,TPR,ACC,F1,INF
7NAD_1_1_A_3348_G.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
6ERI_1_AA_A_926_A.amt,10,0,5,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7QGG_1_t-D_A_47_C.amt,2,4,1,0.6666666666666666,0.3333333333333333,0.5833333134651184,0.4444444444444444,0.4714045207910317
5UD5_1_C_C_67_G.amt,0,2,0,0.0,0.0,0.5,0.0,0.0
4LX6_1_A_A_61_C.amt,7,1,2,0.7777777777777778,0.875,0.8125,0.823529411764706,0.8249579113843054
7DCO_1_B_B_131_A.amt,2,2,2,0.5,0.5,0.5,0.5,0.5
6RXU_1_C1-C2_A_1099_A.amt,13,3,7,0.65,0.8125,0.6875,0.7222222222222223,0.7267220926874317
8GLP_1_L5-L8_B_2739_C.amt,4,0,2,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
7QIW_1_2-8_A_460_A.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
5XY3_1_1-4_1_2034_C.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
7OYB_1_71_A_111_C.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
5TBW_1_1-4_1_3082_C.amt,2,2,2,0.5,0.5,0.5,0.5,0.5
4WF9_1_X_X_1966_U.amt,7,7,5,0.5833333333333334,0.5,0.5714285969734192,0.5384615384615384,0.5400617248673217
7MRL_1_A_A_30_G.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
5J7L_1_AA_A_1061_G.amt,4,0,1,0.8,1.0,0.875,0.888888888888889,0.8944271909999159
4PR6_1_B_B_160_U.amt,4,2,0,1.0,0.6666666666666666,0.8333333134651184,0.8,0.816496580927726
3HHN_1_E_E_47_C.amt,6,2,2,0.75,0.75,0.75,0.75,0.75
5J7L_1_DA_A_1772_A.amt,13,5,12,0.52,0.7222222222222222,0.5277777910232544,0.6046511627906976,0.6128258770283412
5XXB_1_1-4_1_3469_U.amt,2,0,1,0.6666666666666666,1.0,0.75,0.8,0.816496580927726
5T2A_1_B_B_397_A.amt,10,2,4,0.7142857142857143,0.8333333333333334,0.75,0.7692307692307692,0.7715167498104596
7PKT_1_3-4-5-2_B_109_U.amt,11,3,5,0.6875,0.7857142857142857,0.7142857313156128,0.7333333333333334,0.734968415259167
5DDP_1_A_A_58_C.amt,0,2,1,0.0,0.0,0.25,0.0,0.0
4V9F_1_0_0_1562_C.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
7UIN_1_B_A_625_U.amt,2,0,0,1.0,1.0,1.0,1.0,1.0
